	ENT_ID	TYPE	TERM	KWIC	source_year
0	e4	LOCATION	BnF	conditions de réutilisation . 4 / gallica constitue une base de données , dont la BNF est producteur , protégée au sens des articles l341-1 et suivants du code la 	1890-1
1	e11	LOCATION	Prix	journal des voyages et des aventures de terre et de mer no 652 . — PRIX : 15 centimes journal hebdomadaire — bureaux : 8 , rue saint-joseph . . 	1890-1
2	e12	LOCATION	Saint-Joseph	652 . — prix : 15 centimes journal hebdomadaire — bureaux : 8 , rue SAINT-JOSEPH . . abonnements — paris et seine , 8 fr — départements , 10 	1890-1
3	e13	LOCATION	Paris	15 centimes journal hebdomadaire — bureaux : 8 , rue saint-joseph . . abonnements — PARIS et seine , 8 fr — départements , 10 fr. — etranger , 12 	1890-1
4	e14	LOCATION	Seine	journal hebdomadaire — bureaux : 8 , rue saint-joseph . . abonnements — paris et SEINE , 8 fr — départements , 10 fr. — etranger , 12 fr. — 	1890-1
5	e15	LOCATION	Départements	8 , rue saint-joseph . . abonnements — paris et seine , 8 fr — DÉPARTEMENTS , 10 fr. — etranger , 12 fr. — dimanche 5 janvier 1890 . 	1890-1
6	e16	LOCATION	Etranger	. abonnements — paris et seine , 8 fr — départements , 10 fr. — ETRANGER , 12 fr. — dimanche 5 janvier 1890 . texte — remonb-pael : le 	1890-1
7	e18	LOCATION	Turkestan	— dimanche 5 janvier 1890 . texte — remonb-pael : le nouvel an dans le TURKESTAN oriental . — l. jacoujot les ravageurs de la mar ( suite ) . 	1890-1
8	e19	LOCATION	Mar	le nouvel an dans le turkestan oriental . — l. jacoujot les ravageurs de la MAR ( suite ) . — f. dillaye : l’ enclave neutr © de moresnet 	1890-1
9	e19	LOCATION	Mar	le nouvel an dans le turkestan oriental . — l. jacoujot les ravageurs de la MAR ( suite ) . — f. dillaye : l’ enclave neutr © de moresnet nouvel an dans le turkestan oriental . — l. jacoujot les ravageurs de la mar ( suite ) . — f. dillaye : l’ enclave neutr © de moresnet . 	1890-1
10	e19	LOCATION	Mar	le nouvel an dans le turkestan oriental . — l. jacoujot les ravageurs de la MAR ( suite ) . — f. dillaye : l’ enclave neutr © de moresnet nouvel an dans le turkestan oriental . — l. jacoujot les ravageurs de la mar ( suite ) . — f. dillaye : l’ enclave neutr © de moresnet . an dans le turkestan oriental . — l. jacoujot les ravageurs de la mar ( SUITE ) . — f. dillaye : l’ enclave neutr © de moresnet . - 	1890-1
11	e19	LOCATION	Mar	le nouvel an dans le turkestan oriental . — l. jacoujot les ravageurs de la MAR ( suite ) . — f. dillaye : l’ enclave neutr © de moresnet nouvel an dans le turkestan oriental . — l. jacoujot les ravageurs de la mar ( suite ) . — f. dillaye : l’ enclave neutr © de moresnet . an dans le turkestan oriental . — l. jacoujot les ravageurs de la mar ( SUITE ) . — f. dillaye : l’ enclave neutr © de moresnet . - dans le turkestan oriental . — l. jacoujot les ravageurs de la mar ( suite ) . — f. dillaye : l’ enclave neutr © de moresnet . - j. 	1890-1
12	e23	LOCATION	Ferret-Jay	fin ) . — g. us waiiay le brick sanglant ( suite ) . — FERRET-JAY : les nitridres du chili . — nos colonies . — missions et explorations 	1890-1
13	e24	LOCATION	Chili	us waiiay le brick sanglant ( suite ) . — ferret-jay : les nitridres du CHILI . — nos colonies . — missions et explorations . — chromque des voyages 	1890-1
14	e25	LOCATION	Nos	brick sanglant ( suite ) . — ferret-jay : les nitridres du chili . — NOS colonies . — missions et explorations . — chromque des voyages . illustration- — 	1890-1
15	e26	LOCATION	Missions	) . — ferret-jay : les nitridres du chili . — nos colonies . — MISSIONS et explorations . — chromque des voyages . illustration- — le nouvei an dans 	1890-1
16	e27	LOCATION	Chromque	les nitridres du chili . — nos colonies . — missions et explorations . — CHROMQUE des voyages . illustration- — le nouvei an dans lo turkestan oriental : ils 	1890-1
17	e28	LOCATION	Turkestan	et explorations . — chromque des voyages . illustration- — le nouvei an dans lo TURKESTAN oriental : ils fixent les yeux sur le ciel qui s’ assombrit — les 	1890-1
18	e30	LOCATION	I’	l’ homme bleu : reunissant leurs forces ils le soulevent . — le jour de I’ an sur un navire : la visits des « maltres » au commandant . 	1890-1
19	e32	LOCATION	Tu-telle	la visits des « maltres » au commandant . — bordeaux : le temple de TU-TELLE , l’ eglise saint-seurin . — les nilriercs du chili : toute trace de 	1890-1
20	e34	LOCATION	Saint-Seurin	maltres » au commandant . — bordeaux : le temple de tu-telle , l’ eglise SAINT-SEURIN . — les nilriercs du chili : toute trace de vegdtalion a disparu . 	1890-1
21	e35	LOCATION	Chili	bordeaux : le temple de tu-telle , l’ eglise saint-seurin . — les nilriercs du CHILI : toute trace de vegdtalion a disparu . le nouvel an dans le turkestan 	1890-1
22	e36	LOCATION	Toute	le temple de tu-telle , l’ eglise saint-seurin . — les nilriercs du chili : TOUTE trace de vegdtalion a disparu . le nouvel an dans le turkestan oriental . 	1890-1
23	e37	LOCATION	Ie	ie capitaine bingbr a bien voulu tierire , specialement pour le journal des voyages , IE recit de son interessante expedition dans ta region du . niger au golfe de 	1890-1
24	e38	LOCATION	Jeune	ta region du . niger au golfe de guinee cest un grand honneur que le JEUNE et intrepide vojageur fail au journal des voyages , et nous tenons a i' 	1890-1
25	e40	LOCATION	EMIN-PACHA	m.burdo a justement prophetlse les tendenses do la nouvelle expedition de stanlly au secours d' EMIN-PACHA , et. i' issue dos evenements quil tarit pourtant bien malaise de prevoir il 	1890-1
26	e44	LOCATION	Petite-Boukharie	< / article > mecurs et coutumes le nouvel an dans le turkestan oriental la PETITE-BOUKHARIE ou mieux turkestan oriental est un vaste pays trds peu frequents par les voyageurs 	1890-1
27	e45	LOCATION	Turkestan	> mecurs et coutumes le nouvel an dans le turkestan oriental la petite-boukharie ou mieux TURKESTAN oriental est un vaste pays trds peu frequents par les voyageurs . sa super-fieie 	1890-1
28	e46	LOCATION	France	frequents par les voyageurs . sa super-fieie est plus de deux fois celle de la FRANCE . 11 est situ entre la dzourigarie , le turkestan indgpendant , le k 	1890-1
29	e47	LOCATION	Dzourigarie	est plus de deux fois celle de la france . 11 est situ entre la DZOURIGARIE , le turkestan indgpendant , le k & firist & n et l' adar 	1890-1
30	e48	LOCATION	Turkestan	deux fois celle de la france . 11 est situ entre la dzourigarie , le TURKESTAN indgpendant , le k & firist & n et l' adar , d' une 	1890-1
31	e49	LOCATION	Adar	la dzourigarie , le turkestan indgpendant , le k & firist & n et l' ADAR , d' une part ; le thibet , le koukou-nor et la mongolie , 	1890-1
32	e50	LOCATION	Koukou-Nor	firist & n et l' adar , d' une part ; le thibet , le KOUKOU-NOR et la mongolie , de l' autre . sa population n' est guere , 	1890-1
33	e51	LOCATION	Mongolie	et l' adar , d' une part ; le thibet , le koukou-nor et la MONGOLIE , de l' autre . sa population n' est guere , cependant , que 	1890-1
