ENT_ID	TYPE	TERM	KWIC
e4	"LOCATION"	"BnF"	"conditions de réutilisation . 4 / gallica constitue une base de données , dont la BNF est producteur , protégée au sens des articles l341-1 et suivants du code la "
e14	"LOCATION"	"Prix"	"journal des voyages et des aventures de terre et de mer nº 443 . — PRIX : 15 centimes . — journal hebdomadaire — bureaux : 7. rue du croissant "
e15	"LOCATION"	"Paris"	". — journal hebdomadaire — bureaux : 7. rue du croissant . abonnements . — PARIS , 8 fr — départements , 10 fr. — etranger , 12 fr. — "
e16	"LOCATION"	"Départements"	"bureaux : 7. rue du croissant . abonnements . — paris , 8 fr — DÉPARTEMENTS , 10 fr. — etranger , 12 fr. — dimanche 3 janvier 1886 . "
e17	"LOCATION"	"Etranger"	"croissant . abonnements . — paris , 8 fr — départements , 10 fr. — ETRANGER , 12 fr. — dimanche 3 janvier 1886 . texte . — un combat "
e18	"LOCATION"	"Dimanche"	"paris , 8 fr — départements , 10 fr. — etranger , 12 fr. — DIMANCHE 3 janvier 1886 . texte . — un combat sur les glaçons . - "
e20	"LOCATION"	"Birmanie"	"glaçons . - les mangeurs de feu ( suite ) - — la crise en BIRMANIE . — les voyages de savorgnan de brazza ( suite ) . — aventures "
e21	"LOCATION"	"Savorgnan"	"feu ( suite ) - — la crise en birmanie . — les voyages de SAVORGNAN de brazza ( suite ) . — aventures d' un gamin de paris au "
e22	"LOCATION"	"Brazza"	"suite ) - — la crise en birmanie . — les voyages de savorgnan de BRAZZA ( suite ) . — aventures d' un gamin de paris au pays des "
e23	"LOCATION"	"Aventures"	"en birmanie . — les voyages de savorgnan de brazza ( suite ) . — AVENTURES d' un gamin de paris au pays des bisons ( suite ) . — "
e24	"LOCATION"	"Paris"	"voyages de savorgnan de brazza ( suite ) . — aventures d' un gamin de PARIS au pays des bisons ( suite ) . — chronique des voyages et de "
e25	"LOCATION"	"Chronique"	"aventures d' un gamin de paris au pays des bisons ( suite ) . — CHRONIQUE des voyages et de la géographie . illustrations . — un combat sur les "
e26	"LOCATION"	"Birmanie"	"les mangeurs de fou : il montre le chemin à l' animal . — en BIRMANIE : / ( huit gravures ) . — aventures d' un gamin de paris "
e27	"LOCATION"	"Aventures"	"à l' animal . — en birmanie : / ( huit gravures ) . — AVENTURES d' un gamin de paris au pays des bisons : eh bien friquet , "
e28	"LOCATION"	"Paris"	"en birmanie : / ( huit gravures ) . — aventures d' un gamin de PARIS au pays des bisons : eh bien friquet , que dites-vous de cela ? "
e29	"LOCATION"	"Spitzberg"	"< article > un combat sur les glaçons dans les régions arctiques — près du SPITZBERG — les navigateurs ont quelquefois pu observer les phases , intéressantes et pleines de "
e32	"LOCATION"	"détroit"	"blessures reçues ! en 1879 , ilest arrivé que des navigateurs , passant par le DÉTROIT de davis , ont trouvé sur un grand glaçon qui flottait à la dérive "
e32	"LOCATION"	"détroit"	"blessures reçues ! en 1879 , ilest arrivé que des navigateurs , passant par le DÉTROIT de davis , ont trouvé sur un grand glaçon qui flottait à la dérive reçues ! en 1879 , ilest arrivé que des navigateurs , passant par le détroit DE davis , ont trouvé sur un grand glaçon qui flottait à la dérive les "
e32	"LOCATION"	"détroit"	"blessures reçues ! en 1879 , ilest arrivé que des navigateurs , passant par le DÉTROIT de davis , ont trouvé sur un grand glaçon qui flottait à la dérive reçues ! en 1879 , ilest arrivé que des navigateurs , passant par le détroit DE davis , ont trouvé sur un grand glaçon qui flottait à la dérive les ! en 1879 , ilest arrivé que des navigateurs , passant par le détroit de DAVIS , ont trouvé sur un grand glaçon qui flottait à la dérive les cadavres "
e35	"LOCATION"	"Gilping"	"partie les batteurs du buisson le grand chef des nagarnooks chapitre iii le réveil de GILPING . ¯ rr aspect géologique du kra-fenoua . — bouleversements volcaniques . — le "
e36	"LOCATION"	"Bouleversements"	"chapitre iii le réveil de gilping . ¯ rr aspect géologique du kra-fenoua . — BOULEVERSEMENTS volcaniques . — le fils et le petit-fils.du héros de l' indépendance . — "
e37	"LOCATION"	"Indépendance"	"kra-fenoua . — bouleversements volcaniques . — le fils et le petit-fils.du héros de l' INDÉPENDANCE . — a la vie et à la mort . — le portefeuille perdu "
e40	"LOCATION"	"Lucifer"	"il avait lhabitude de voir ces mécréants de papistes bouillir dans la grande chaudière de LUCIFER , il prit d' abord , grâce aux fumées mal dissipées du brandy , "
